88,1384448,
8625152,15109120,2098432,
8554752,15075840,2131200,
8467456,15075840,1775360,
8485632,15040512,2050048,
8453888,15077888,2018560,
8463360,15034624,1964800,
8486656,15077120,2031872,
8407808,15073024,1726720,
8479744,15037696,2027264,
8474624,15095552,2042880,
8417024,15043840,1841920,
8483584,15097088,2087936,
8413952,15084544,1699072,
8468224,15074304,2051072,
8457984,15085056,2024960,
8442880,14993664,1996544,
8736512,15061760,2199552,
8524544,15090688,1854720,
8509440,15075584,2032640,
8419328,15095808,1650432,
8488192,15065088,2010880,
8469248,15105024,1903104,
8500992,15099136,1952512,
8606464,15113728,2129920,
8562944,15165184,1824768,
8622592,15111680,2085888,
8509696,15119360,2063104,
8480256,15036672,2033920,
8500736,15068672,2083840,
8486656,15078912,1873920,
8515328,15064832,1988608,
8466688,15115520,1628928,
8524544,15060480,1966848,
8479744,15094528,1725696,
8547072,15108096,2055168,
8495872,15105536,1680640,
8577280,15142656,2061056,
8542208,15083008,1780992,
8621056,15101952,2114560,
8578560,15062784,1967360,
8585984,15088640,1915392,
8586496,15105536,2050048,
8878592,15105280,1677824,
8715520,15181824,2149632,
8587264,15081728,1846272,
8628480,15104000,2085120,
8638720,15148800,1902848,
8655872,15090688,2009088,
8698368,15118336,2094592,
8700928,15065600,1968640,
8802304,15113472,2137600,
8731136,15145984,1814016,
8709376,15106560,2063104,
8629248,15157248,1807872,
8659200,15076096,1974784,
8708608,15113216,2089984,
8689152,15124736,1951488,
8707584,15090432,2049024,
8743680,15072512,1850880,
8736000,14987776,1950464,
8748544,15029248,2040576,
8752896,15031296,1958400,
8763136,15047936,1942528,
8767488,15094528,2015488,
8787456,15071744,2000384,
8768256,15103488,2057984,
8752896,15098112,2025984,
8783616,15110144,2081280,
8796160,15136256,2127872,
9139712,15175424,2147584,
8754176,15183360,2061568,
8733184,15186688,2075904,
8741888,15187712,2003456,
8790784,15183360,2182400,
8754688,15140096,2085888,
8810752,15163392,1969408,
8877056,15099136,2055936,
8892416,15141632,2112256,
8845568,15144192,2093568,
8751360,15092224,2045952,
8753408,15146240,2043904,
8716032,15097344,2011904,
8743680,15092480,2095360,
8739584,15102720,2073088,
8742912,15090944,2088448,
8764672,15116544,2103552,
8742400,15103488,2010624,
8776704,15136768,2109696,
8748800,15116800,2073344,
8777216,15116288,2123264,
8772864,15173632,2135296,
8734464,15116544,2046720,
8758016,15150336,2178560,
8728832,15112704,2109696,
9196800,15211008,2290176,
8776704,15189248,2153728,
8752896,15130112,2133504,
8758784,15184640,2155520,
8748544,15136000,2068992,
8759808,15152640,2108160,
8796672,15196672,2131968,
8850176,15153920,2133504,
8897280,15229952,2245632,
8823552,15189504,2155776,
8735232,15169536,2153472,
8682752,15164416,2132224,
8668416,15149312,2110208,
8670208,15182592,2179328,
8656896,15182336,2061824,
8634112,15261952,2091520,
8639488,15236352,2105088,
8664832,15209984,2130432,
8670208,15245568,2175488,
8610048,15186688,1876224,
8707584,15212288,2164224,
8660736,15136000,2079744,
8632064,15144960,1974528,
8672768,15195392,2130432,
8818944,15136000,2089216,
8774144,15225088,2082304,
8685568,15127552,2056704,
8697856,15142656,2096384,
8695296,15149312,2089728,
8675072,15112704,1930240,
8745984,15164160,2139904,
8759808,15131648,2052352,
8821760,15170048,2035456,
8819968,15179776,2084096,
8744960,15132928,2096384,
8676864,15160064,2133248,
8620800,15117056,1900288,
8653568,15130112,2068992,
8643584,15118336,2059520,
8669696,15096064,2072064,
8668160,15132672,2051584,
8644096,15057920,1954816,
8676608,15067648,2025472,
8641280,15031552,1936384,
8651008,15041536,1906688,
8695808,15118592,2032896,
8640256,15078912,1962496,
8667136,15105024,2112512,
8658944,15121920,2108160,
8786944,15148544,2134272,
8870656,15293184,2279168,
8679680,15172608,2159360,
8668928,15167744,2168832,
8679680,15102976,1974784,
8684800,15104768,2010112,
8722944,15117312,2085632,
8761088,15095552,2038784,
8828928,15156736,2154240,
8840704,15162624,2068480,
8795648,15141632,2088448,
8724992,15147264,2065408,
8696576,15108096,2047744,
8720640,15151616,2089472,
8696064,15098112,1990656,
8735232,15130112,2062336,
8718848,15138560,2072832,
8716544,15101184,2059520,
8724480,15129600,2087168,
8716544,15088640,1989120,
8724480,15107328,2088448,
8702464,15099904,2063360,
8770816,15102976,2063104,
8785664,15110400,2051840,
8714240,15076352,1936384,
8767232,15143168,2085376,
8700160,15087872,2027008,
8987136,15117568,2145536,
8823040,15256832,2155520,
8754176,15362560,2141696,
8756480,15524096,2278144,
8738560,15448064,2200064,
8767232,15405312,2259712,
8780032,15377664,2235136,
8806400,15331840,2190080,
8851200,15317504,2243584,
8837888,15277056,2166784,
8789504,15208448,2124544,
8716032,15164416,2091008,
8729344,15153408,2071808,
8726784,15109376,2094336,
8721152,15104000,2031616,
8728064,15132416,2070528,
8689408,15114752,2003968,
8690944,15098624,2014208,
8695808,15105536,2080000,
8660480,15085824,1959168,
8686336,15094272,1976576,
8684288,15090944,1981440,
8699392,15084800,1986560,
8691456,15078144,1975296,
8708096,15096320,1952256,
8716800,15077376,1994496,
8667392,15085568,1971968,
8692736,15085568,1996800,
8668928,15057408,1943552,
9231360,15187968,2102272,
8759552,15127040,2034432,
8708352,15120896,1964800,
8741888,15095296,1984000,
8716032,15133952,1966592,
8752384,15116032,1951232,
8771072,15130112,1976576,
8800768,15158528,1940736,
8848896,15168000,2008576,
8785408,15182848,1979136,
8722688,15173120,1974784,
8686080,15145472,2002432,
8645888,15118592,1908224,
8667136,15121408,1962752,
8640000,15119104,1894400,
8651264,15125248,1920000,
8656896,15087616,1914112,
8627968,15182336,1894400,
8637952,15158528,1949440,
8639488,15187968,1862400,
8638464,15181568,1871360,
8661248,15208192,1920000,
8644352,15231488,1893888,
8668672,15201792,1969152,
8638464,15218432,1922816,
8660224,15205632,1913856,
8736512,15195392,1873408,
8783104,15237632,1880576,
8656384,15175680,1919744,
8688640,15203584,1866240,
8693248,15173888,1844736,
8669184,15223296,1823488,
8679168,15205888,1794304,
8772864,15209216,1916160,
8791552,15237120,1842944,
8852480,15237888,1899520,
8758272,15189248,1872384,
8665088,15162112,1807616,
8661504,15138816,1857536,
8668416,15169024,1820416,
8699648,15154688,1878272,
8691968,15162368,1846016,
8685824,15149056,1842944,
8656640,15142144,1807616,
8640512,15143680,1769216,
8697344,15145984,1856768,
8670976,15149568,1774336,
8697344,15140608,1792000,
8725504,15147776,1852672,
8689920,15159808,1794560,
8709632,15158016,1871616,
8687872,15185920,1822208,
8741376,15160576,1871360,
9219584,15294464,2061056,
8738816,15218432,1862144,
8733184,15209216,1864448,
8729088,15224832,1822720,
8736768,15225600,1887488,
8751872,15217664,1878016,
8796672,15209984,1891584,
8865792,15225600,1943552,
8862720,15225600,1862912,
8850176,15192832,1922816,
8750336,15149312,1883392,
8735744,15115264,1834752,
8755456,15119360,1827328,
8743424,15110912,1764352,
8758784,15097344,1814784,
8748544,15106048,1772032,
8746240,15099136,1740288,
8746752,15093504,1777664,
8756224,15091456,1741312,
8756736,15060736,1810432,
8743424,15060736,1736960,
8798464,15043840,1821696,
8779520,15049472,1791744,
8763904,15022336,1687040,
8784640,15024640,1756928,
9176832,15091712,1818112,
8873472,15068416,1793536,
8788736,15028992,1740032,
8782080,15069952,1703680,
8809472,15094272,1758464,
8808192,15139328,1725952,
8843776,15167744,1792768,
8898304,15193856,1760512,
8935680,15223296,1808640,
8927744,15256064,1873408,
8829440,15229952,1732352,
8849920,15246592,1756672,
8827136,15245312,1734656,
8835072,15275520,1761792,
8845568,15284736,1809408,
8811264,15278080,1753600,
8844544,15331072,1799168,
8816384,15377664,1745920,
8823296,15411456,1816832,
8853504,15447296,1848320,
