3728,2457600,
14221824,13858560,547584,
14235392,13841152,556544,
14192640,13902336,507136,
14083328,13648640,405504,
14125824,13819136,450304,
14071296,13645056,364288,
14080000,13625856,348160,
14099456,13761024,420096,
14046976,13626880,400384,
14141440,13866496,535040,
14080512,13800960,526080,
14077184,13899776,545536,
14081024,13984256,613888,
14013184,13749504,512256,
14506752,14023680,758528,
14082048,13821696,554496,
14095104,13988608,599808,
14090752,13819648,503808,
14036480,13643520,422656,
14123776,13724928,492544,
14101760,13670144,499712,
14182144,13812480,513792,
14199552,13913088,633856,
14131712,13789952,610048,
14131200,13935872,669440,
14043904,13741568,572416,
14065408,13853696,580608,
14059520,13782016,522496,
14014976,13587968,403712,
14084608,13745408,464640,
14008576,12863488,106752,
14039040,12635904,490496,
14048768,12278016,556800,
13959424,12696832,399616,
14026752,12834560,614912,
13968128,12589056,840960,
14071552,12738816,554752,
14264064,13151488,444160,
13963776,12474624,105984,
14015488,12823296,113920,
13944832,12109824,66816,
13990912,12119296,16766464,
13963776,12282368,16654080,
14009600,12273408,16483584,
14044160,12001536,16457728,
14033408,12102400,16487424,
13952512,12269056,16309760,
13934848,12398592,16179968,
13916672,12554496,16243456,
13939968,12672512,16238080,
13932288,12682496,16135168,
13938944,12800512,16252416,
13929984,12731904,16447744,
13944832,12879872,16715008,
13921536,13674496,232704,
13923328,12885760,153600,
13972224,12769280,70912,
13916416,12634368,16571392,
13959424,11930368,16152064,
13916672,12115968,16061440,
13978112,12589056,16090880,
14261760,12585216,16314880,
14052096,13067520,16456960,
13939968,13073152,16368128,
14020608,13348096,16481792,
13968384,13303552,16465408,
14041088,13442304,16628480,
14009088,13265408,16629248,
14112000,13479424,53248,
14069760,13434624,118272,
14053632,13595392,168192,
14023424,13709824,262656,
13985280,13747968,321792,
14059008,13922048,424192,
13989888,13793024,372992,
14029312,13912064,380672,
14068224,13926912,384256,
13982208,13733632,303616,
14051328,13879808,342272,
14001408,13711872,317440,
14024704,13746176,344064,
14062080,13861888,396288,
14003712,13735680,344832,
14074880,13950464,440064,
14028800,13864960,434944,
14051072,13921792,444928,
14041856,13996032,494336,
14010880,13823488,412672,
14530816,14099456,728576,
14034944,13940736,563968,
14060288,14004480,577280,
14074624,14058240,633600,
14037248,13904384,586752,
14108160,14105088,634112,
14082048,13912064,603904,
14141952,13956352,598784,
14174464,13997312,641536,
14102784,13755392,501248,
14106112,13928704,530688,
14011136,13778944,464128,
14076416,13843200,448512,
14054912,13757696,381696,
14038272,13670144,343552,
14077696,13741568,387328,
14031616,13684736,334848,
14080000,13787136,393984,
14064640,13891584,455424,
14036224,13622272,172032,
14099456,13891072,288000,
14033664,13878016,375552,
14089472,14017280,510464,
14088192,13897216,568320,
14027776,13717248,551680,
14096640,14034944,551168,
14001664,13807616,525824,
14427392,14017280,666880,
14141952,14029568,577536,
14063616,13588224,358144,
14127104,13880064,404480,
14091008,13522688,468992,
14128128,13703680,578048,
14162432,13926144,604416,
14182400,13835008,544000,
14273280,14137344,662528,
14190336,14028800,645120,
14180864,14161152,658176,
14125568,14114560,662016,
14097152,14019840,616192,
14179840,14207232,719104,
14102528,14032128,670720,
14175744,14050048,634112,
14168064,13834752,518912,
14131456,13738240,528896,
14180608,14092544,687616,
14122240,14033152,581632,
14190080,14142720,678912,
14152448,13616128,841728,
14180608,13326080,840704,
14207744,13565952,767488,
14140672,13916160,519424,
14190848,14055168,662016,
14229760,14135040,713984,
14502656,14137344,830720,
14242816,14211328,915200,
14176000,14056960,835840,
